date,reason
2026-01-01,New Year's Day
2026-01-19,Martin Luther King Jr. Day
2026-02-16,Washington's Birthday
2026-05-14,Unavailable
2026-05-15,Unavailable
2026-05-16,Unavailable
2026-05-17,Unavailable
2026-05-18,Unavailable
2026-05-19,Unavailable
2026-05-20,Unavailable
2026-05-21,Unavailable
2026-05-22,Unavailable
2026-05-23,Unavailable
2026-05-24,Unavailable
2026-05-25,Memorial Day
2026-05-26,Unavailable
2026-05-27,Unavailable
2026-06-19,Juneteenth National Independence Day
2026-06-29,Unavailable
2026-06-30,Unavailable
2026-07-01,Unavailable
2026-07-02,Unavailable
2026-07-03,Independence Day observed
2026-07-04,Unavailable
2026-07-05,Unavailable
2026-07-06,Unavailable
2026-08-12,Unavailable
2026-08-13,Unavailable
2026-08-14,Unavailable
2026-08-15,Unavailable
2026-08-16,Unavailable
2026-08-17,Unavailable
2026-09-07,Labor Day
2026-10-12,Columbus Day
2026-11-11,Veterans Day
2026-11-26,Thanksgiving Day
2026-12-25,Christmas Day
2027-01-01,New Year's Day
2027-01-18,Martin Luther King Jr. Day
2027-02-15,Washington's Birthday
2027-05-31,Memorial Day
2027-06-18,Juneteenth National Independence Day observed
2027-07-05,Independence Day observed
2027-09-06,Labor Day
2027-10-11,Columbus Day
2027-11-11,Veterans Day
2027-11-25,Thanksgiving Day
2027-12-24,Christmas Day observed
